"","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","species_name","kingdom_txid","phylum_txid","class_txid","order_txid","family_txid","genus_txid","species_txid"
"s__Bacteroides_massiliensis","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_massiliensis","2","976","200643","171549","815","816","204516"
"s__Ruminococcaceae_bacterium_D16","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_unclassified","s__Ruminococcaceae_bacterium_D16","2","1239","186801","186802","541000","","552398"
"s__Bacteroides_salyersiae","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_salyersiae","2","976","200643","171549","815","816","291644"
"s__Anaeromassilibacillus_sp_An250","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Anaeromassilibacillus","s__Anaeromassilibacillus_sp_An250","2","1239","186801","186802","541000","1924093","1965604"
"s__Actinomyces_johnsonii","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_johnsonii","2","201174","1760","2037","2049","1654","544581"
"s__Hungatella_hathewayi","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Hungatella","s__Hungatella_hathewayi","2","1239","186801","186802","31979","1649459","154046"
"s__Streptococcus_phage_SM1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","s__Streptococcus_phage_SM1","10239","","","28883","10699","","157924"
"s__Pseudomonas_phage_F10","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","s__Pseudomonas_phage_F10","10239","","","28883","10699","","347324"
"s__Clostridium_asparagiforme","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Clostridium_asparagiforme","2","1239","186801","186802","186803","1506553","333367"
"s__Bifidobacterium_dentium","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_dentium","2","201174","1760","85004","31953","1678","1689"
"s__Actinomyces_sp_oral_taxon_170","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_sp_oral_taxon_170","2","201174","1760","2037","2049","1654","712117"
"s__Lactonifactor_longoviformis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Lactonifactor","s__Lactonifactor_longoviformis","2","1239","186801","186802","31979","420345","341220"
"s__Eubacterium_callanderi","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Eubacterium","s__Eubacterium_callanderi","2","1239","186801","186802","186806","1730","53442"
"s__Blautia_coccoides","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Blautia","s__Blautia_coccoides","2","1239","186801","186802","186803","572511","1532"
"s__Lactococcus_phage_P335_sensu_lato","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","s__Lactococcus_phage_P335_sensu_lato","10239","","","28883","10699","","354260"
"s__Rubneribacter_badeniensis","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Rubneribacter","s__Rubneribacter_badeniensis","2","201174","84998","1643822","1643826","2126002","2070688"
"s__Corynebacterium_durum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__Corynebacterium_durum","2","201174","1760","85007","1653","1716","61592"
"s__Rothia_dentocariosa","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__Rothia_dentocariosa","2","201174","1760","85006","1268","32207","2047"
"s__Pseudopropionibacterium_propionicum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Pseudopropionibacterium","s__Pseudopropionibacterium_propionicum","2","201174","1760","85009","31957","1912217","1750"
"s__Anaerofustis_stercorihominis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Anaerofustis","s__Anaerofustis_stercorihominis","2","1239","186801","186802","186806","264995","214853"
"s__Clostridiales_bacterium_1_7_47FAA","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_unclassified","g__Clostridiales_unclassified","s__Clostridiales_bacterium_1_7_47FAA","2","1239","186801","186802","","","457421"
"s__Alistipes_inops","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_inops","2","976","200643","171549","171550","239759","1501391"
"s__Bifidobacterium_animalis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_animalis","2","201174","1760","85004","31953","1678","28025"
"s__Blautia_hydrogenotrophica","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Blautia","s__Blautia_hydrogenotrophica","2","1239","186801","186802","186803","572511","53443"
"s__Bacteroides_intestinalis","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_intestinalis","2","976","200643","171549","815","816","329854"
"s__Enteroscipio_rubneri","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Enteroscipio","s__Enteroscipio_rubneri","2","201174","84998","1643822","1643826","2126006","2070686"
"s__Clostridium_sp_CAG_122","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_122","2","1239","186801","186802","31979","1485","1262773"
"s__Firmicutes_bacterium_CAG_145","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_145","2","1239","","","","","1263005"
"s__Oscillibacter_sp_CAG_155","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Oscillospiraceae","g__Oscillibacter","s__Oscillibacter_sp_CAG_155","2","1239","186801","186802","216572","459786","1262910"
"s__Porphyromonas_sp_31_2","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__Porphyromonas_sp_31_2","2","976","200643","171549","171551","836","658663"
"s__Clostridium_sp_CAG_12237_41","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_12237_41","2","1239","186801","186802","31979","1485","1896985"
"s__Clostridium_saccharolyticum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Clostridium_saccharolyticum","2","1239","186801","186802","186803","1506553","84030"
"s__Microbacterium_phage_Min1","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","s__Microbacterium_phage_Min1","10239","","","28883","10699","","446529"
"s__Roseburia_sp_CAG_471","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Roseburia","s__Roseburia_sp_CAG_471","2","1239","186801","186802","186803","841","1262948"
"s__Actinomyces_sp_HPA0247","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_sp_HPA0247","2","201174","1760","2037","2049","1654","1203556"
"s__Actinomyces_viscosus","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_viscosus","2","201174","1760","2037","2049","1654","1656"
"s__Adlercreutzia_equolifaciens","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_equolifaciens","2","201174","84998","1643822","1643826","447020","446660"
"s__Eubacterium_sp_CAG_251","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Eubacterium","s__Eubacterium_sp_CAG_251","2","1239","186801","186802","186806","1730","1262886"
"s__Ruminococcus_sp_CAG_177","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_sp_CAG_177","2","1239","186801","186802","541000","1263","1262952"
"s__Prevotella_sp_CAG_386","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_sp_CAG_386","2","976","200643","171549","171552","838","1262925"
"s__Ruminococcus_sp_CAG_254","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_sp_CAG_254","2","1239","186801","186802","541000","1263","1262953"
"s__Prevotella_sp_CAG_5226","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_sp_CAG_5226","2","976","200643","171549","171552","838","1262930"
"s__Prevotella_sp_CAG_279","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_sp_CAG_279","2","976","200643","171549","171552","838","1262924"
"s__Collinsella_sp_CAG_289","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","s__Collinsella_sp_CAG_289","2","201174","84998","84999","84107","102106","1262851"
"s__Holdemanella_biformis","k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__Holdemanella_biformis","2","1239","526524","526525","128827","1573535","1735"
"s__Bacteroides_sp_CAG_530","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_sp_CAG_530","2","976","200643","171549","815","816","1262741"
"s__Weissella_confusa","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__Weissella","s__Weissella_confusa","2","1239","91061","186826","81850","46255","1583"
"s__Streptococcus_anginosus_group","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_anginosus_group","2","1239","91061","186826","1300","1301","671232"
"s__Clostridium_sp_CAG_277","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_277","2","1239","186801","186802","31979","1485","1262790"
"s__Lactococcus_phage_bIL312","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","s__Lactococcus_phage_bIL312","10239","","","28883","10699","","151539"
"s__Firmicutes_bacterium_CAG_170","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_170","2","1239","","","","","1263006"
"s__Streptococcus_mutans","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_mutans","2","1239","91061","186826","1300","1301","1309"
"s__Clostridium_sp_44_14","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_44_14","2","1239","186801","186802","31979","1485","1896984"
"s__Lactobacillus_rhamnosus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_rhamnosus","2","1239","91061","186826","33958","1578","47715"
"s__Lachnospiraceae_bacterium_OF09_6","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_bacterium_OF09_6","2","1239","186801","186802","186803","","2293831"
"s__Lactococcus_phage_BK5_T","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","s__Lactococcus_phage_BK5_T","10239","","","28883","10699","","31754"
"s__Enterococcus_phage_EF62phi","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__Podoviridae_unclassified","s__Enterococcus_phage_EF62phi","10239","","","28883","10744","","977801"
"s__Eubacterium_sp_TM05_53","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Eubacterium","s__Eubacterium_sp_TM05_53","2","1239","186801","186802","186806","1730","2292353"
"s__Desulfovibrionaceae_bacterium","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrionaceae_unclassified","s__Desulfovibrionaceae_bacterium","2","1224","28221","213115","194924","","2049043"
"s__Actinomyces_sp_S6_Spd3","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_sp_S6_Spd3","2","201174","1760","2037","2049","1654","1284680"
"s__Haemophilus_sp_HMSC71H05","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_sp_HMSC71H05","2","1224","1236","135625","712","724","1608898"
"s__Roseburia_sp_CAG_100","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Roseburia","s__Roseburia_sp_CAG_100","2","1239","186801","186802","186803","841","1262940"
"s__Lactobacillus_acidophilus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_acidophilus","2","1239","91061","186826","33958","1578","1579"
"s__Leuconostoc_garlicum","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__Leuconostoc","s__Leuconostoc_garlicum","2","1239","91061","186826","81850","1243","255248"
"s__Streptococcus_sp_F0442","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_sp_F0442","2","1239","91061","186826","1300","1301","999425"
"s__Ruminococcus_callidus","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_callidus","2","1239","186801","186802","541000","1263","40519"
"s__Dialister_sp_CAG_486","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Dialister","s__Dialister_sp_CAG_486","2","1239","909932","1843489","31977","39948","1262870"
"s__Clostridium_sp_CAG_433","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_433","2","1239","186801","186802","31979","1485","1262806"
"s__Veillonella_tobetsuensis","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","s__Veillonella_tobetsuensis","2","1239","909932","1843489","31977","29465","1110546"
"s__Gemella_sanguinis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillales_unclassified","g__Gemella","s__Gemella_sanguinis","2","1239","91061","1385","","1378","84135"
"s__Veillonella_sp_DORA_A_3_16_22","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","s__Veillonella_sp_DORA_A_3_16_22","2","1239","909932","1843489","31977","29465","1403932"
"s__Enterococcus_faecalis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus","s__Enterococcus_faecalis","2","1239","91061","186826","81852","1350","1351"
"s__Roseburia_sp_CAG_10041_57","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Roseburia","s__Roseburia_sp_CAG_10041_57","2","1239","186801","186802","186803","841","1897016"
"s__Prevotella_sp_AM42_24","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_sp_AM42_24","2","976","200643","171549","171552","838","2293125"
"s__Eubacterium_sp_CAG_274","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Eubacterium","s__Eubacterium_sp_CAG_274","2","1239","186801","186802","186806","1730","1262888"
"s__Clostridium_sp_CAG_354","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_354","2","1239","186801","186802","31979","1485","1262799"
"s__Roseburia_sp_CAG_380","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Roseburia","s__Roseburia_sp_CAG_380","2","1239","186801","186802","186803","841","1262946"
"s__Firmicutes_bacterium_CAG_94","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_94","2","1239","","","","","1262989"
"s__Blautia_sp_An249","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Blautia","s__Blautia_sp_An249","2","1239","186801","186802","186803","572511","1965603"
"s__Leuconostoc_mesenteroides","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__Leuconostoc","s__Leuconostoc_mesenteroides","2","1239","91061","186826","81850","1243","1245"
"s__Oxalobacter_formigenes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Oxalobacter","s__Oxalobacter_formigenes","2","1224","28216","80840","75682","846","847"
"s__Clostridium_sp_CAG_768","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_768","2","1239","186801","186802","31979","1485","1262838"
"s__Clostridium_sp_chh4_2","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_chh4_2","2","1239","186801","186802","31979","1485","2067550"
"s__Alistipes_onderdonkii","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_onderdonkii","2","976","200643","171549","171550","239759","328813"
"s__Acetobacter_sp_CAG_267","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter_sp_CAG_267","2","1224","28211","204441","433","434","1262684"
"s__Bacteroides_nordii","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_nordii","2","976","200643","171549","815","816","291645"
"s__Lachnoclostridium_sp_An131","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Lachnoclostridium_sp_An131","2","1239","186801","186802","186803","1506553","1965555"
"s__Absiella_dolichum","k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Absiella","s__Absiella_dolichum","2","1239","526524","526525","128827","2057233","31971"
"s__Lachnoclostridium_sp_An138","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Lachnoclostridium_sp_An138","2","1239","186801","186802","186803","1506553","1965560"
"s__Lactobacillus_casei_group","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_casei_group","2","1239","91061","186826","33958","1578","655183"
"s__Massiliomicrobiota_timonensis","k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Massiliomicrobiota","s__Massiliomicrobiota_timonensis","2","1239","526524","526525","128827","1924110","1776392"
"s__Faecalicatena_orotica","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Faecalicatena","s__Faecalicatena_orotica","2","1239","186801","186802","186803","2005359","1544"
"s__Clostridium_perfringens","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_perfringens","2","1239","186801","186802","31979","1485","1502"
"s__Klebsiella_michiganensis","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","s__Klebsiella_michiganensis","2","1224","1236","91347","543","570","1134687"
"s__Sutterella_wadsworthensis","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__Sutterella_wadsworthensis","2","1224","28216","80840","995019","40544","40545"
"s__Haemophilus_pittmaniae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_pittmaniae","2","1224","1236","135625","712","724","249188"
"s__Veillonella_sp_T11011_6","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","s__Veillonella_sp_T11011_6","2","1239","909932","1843489","31977","29465","2027459"
"s__Tyzzerella_nexilis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Tyzzerella","s__Tyzzerella_nexilis","2","1239","186801","186802","186803","1506577","29361"
"s__Blautia_sp_N6H1_15","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Blautia","s__Blautia_sp_N6H1_15","2","1239","186801","186802","186803","572511","1912897"
"s__Anaerococcus_vaginalis","k__Bacteria","p__Firmicutes","c__Tissierellia","o__Tissierellales","f__Peptoniphilaceae","g__Anaerococcus","s__Anaerococcus_vaginalis","2","1239","1737404","1737405","1570339","165779","33037"
"s__Staphylococcus_aureus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus_aureus","2","1239","91061","1385","90964","1279","1280"
"s__Saccharomyces_cerevisiae","k__Eukaryota","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__Saccharomyces_cerevisiae","2759","4890","4891","4892","4893","4930","4932"
"s__Streptococcus_phage_P7132","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sfi21dt1virus","s__Streptococcus_phage_P7132","10239","","","28883","10699","1623304","1971421"
"s__Prevotella_bivia","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_bivia","2","976","200643","171549","171552","838","28125"
"s__Finegoldia_magna","k__Bacteria","p__Firmicutes","c__Tissierellia","o__Tissierellales","f__Peptoniphilaceae","g__Finegoldia","s__Finegoldia_magna","2","1239","1737404","1737405","1570339","150022","1260"
"s__Klebsiella_oxytoca","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Klebsiella","s__Klebsiella_oxytoca","2","1224","1236","91347","543","570","571"
"s__Streptococcus_milleri","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_milleri","2","1239","91061","186826","1300","1301","33040"
"s__Clostridium_celatum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_celatum","2","1239","186801","186802","31979","1485","36834"
"s__Clostridium_sp_CAG_505","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_505","2","1239","186801","186802","31979","1485","1262814"
"s__Anaerotignum_lactatifermentans","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Anaerotignum","s__Anaerotignum_lactatifermentans","2","1239","186801","186802","186803","2039240","160404"
"s__Clostridium_butyricum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_butyricum","2","1239","186801","186802","31979","1485","1492"
"s__Clostridium_sp_D5","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_D5","2","1239","186801","186802","31979","1485","556261"
"s__Shigella_virus_Sf6","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Podoviridae","g__P22virus","s__Shigella_virus_Sf6","10239","","","28883","10744","186794","10761"
"s__Lactobacillus_delbrueckii","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_delbrueckii","2","1239","91061","186826","33958","1578","1584"
"s__Shigella_phage_SfIV","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Myoviridae","g__Myoviridae_unclassified","s__Shigella_phage_SfIV","10239","","","28883","10662","","1407493"
"s__Firmicutes_bacterium_CAG_466","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_466","2","1239","","","","","1263025"
"s__Eubacterium_brachy","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_Family_XIII_Incertae_Sedis","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","s__Eubacterium_brachy","2","1239","186801","186802","543314","","35517"
"s__Streptococcus_macedonicus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_macedonicus","2","1239","91061","186826","1300","1301","59310"
"s__Anaerotruncus_sp_CAG_528","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Anaerotruncus","s__Anaerotruncus_sp_CAG_528","2","1239","186801","186802","541000","244127","1262700"
"s__Firmicutes_bacterium_CAG_102","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_102","2","1239","","","","","1262998"
"s__Clostridiales_Family_XIII_bacterium","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_Family_XIII_Incertae_Sedis","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","s__Clostridiales_Family_XIII_bacterium","2","1239","186801","186802","543314","","2137877"
"s__Clostridium_sp_CAG_269","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_269","2","1239","186801","186802","31979","1485","1262788"
